"Table 18. Life table for non-Hispanic black females: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
68–69,0.017662376165390015,78110.8828125,1379.623779296875,77421.0703125,1360798.375,17.421367645263672
69–70,0.018739597871899605,76731.2578125,1437.9129638671875,76012.296875,1283377.25,16.72561264038086
70–71,0.019832555204629898,75293.34375,1493.2593994140625,74546.71875,1207365,16.035480499267578
71–72,0.02126470021903515,73800.0859375,1569.336669921875,73015.421875,1132818.25,15.349822998046875
72–73,0.023244734853506088,72230.75,1678.984619140625,71391.2578125,1059802.875,14.67246150970459
73–74,0.025275394320487976,70551.765625,1783.2237548828125,69660.15625,988411.625,14.009736061096191
74–75,0.027611019089818,68768.5390625,1898.7694091796875,67819.15625,918751.4375,13.360054969787598
75–76,0.030253790318965912,66869.7734375,2023.0640869140625,65858.2421875,850932.3125,12.725215911865234
76–77,0.032733652740716934,64846.7109375,2122.669677734375,63785.375,785074.0625,12.106613159179688
77–78,0.03631523624062538,62724.04296875,2277.83837890625,61585.125,721288.6875,11.499397277832031
78–79,0.03977985680103302,60446.203125,2404.541259765625,59243.9296875,659703.5625,10.913895606994629
79–80,0.043086472898721695,58041.66015625,2500.810302734375,56791.2578125,600459.625,10.345321655273438
80–81,0.04766606166958809,55540.8515625,2647.41357421875,54217.14453125,543668.375,9.78862190246582
81–82,0.05196686089038849,52893.4375,2748.705810546875,51519.0859375,489451.21875,9.253534317016602
82–83,0.056636031717061996,50144.73046875,2839.99853515625,48724.73046875,437932.125,8.733363151550293
83–84,0.06212571635842323,47304.73046875,2938.84033203125,45835.3125,389207.40625,8.22766399383545
84–85,0.06857070326805115,44365.890625,3042.200439453125,42844.7890625,343372.09375,7.739551544189453
85–86,0.07453782111406326,41323.69140625,3080.177978515625,39783.6015625,300527.28125,7.272517681121826
86–87,0.08240360766649246,38243.51171875,3151.4033203125,36667.8125,260743.6875,6.8179850578308105
87–88,0.09115096926689148,35092.109375,3198.6796875,33492.76953125,224075.875,6.385363578796387
88–89,0.10066689550876617,31893.4296875,3210.612548828125,30288.123046875,190583.109375,5.97562313079834
89–90,0.1109846904873848,28682.81640625,3183.353515625,27091.140625,160294.984375,5.588537216186523
90–91,0.12213180214166641,25499.462890625,3114.29541015625,23942.31640625,133203.84375,5.223790168762207
91–92,0.13412827253341675,22385.16796875,3002.48388671875,20883.92578125,109261.53125,4.880979061126709
92–93,0.1469850242137909,19382.68359375,2848.964111328125,17958.201171875,88377.6015625,4.559616565704346
93–94,0.16070227324962616,16533.71875,2657.006103515625,15205.2158203125,70419.40625,4.259139060974121
94–95,0.17526791989803314,13876.712890625,2432.142578125,12660.6416015625,55214.1875,3.978909730911255
95–96,0.19065628945827484,11444.5703125,2181.979248046875,10353.580078125,42553.546875,3.7182302474975586
96–97,0.2068270742893219,9262.5908203125,1915.7545166015625,8304.7138671875,32199.966796875,3.4763455390930176
97–98,0.22372478246688843,7346.83642578125,1643.66943359375,6525.001953125,23895.251953125,3.2524545192718506
98–99,0.24127866327762604,5703.1669921875,1376.052490234375,5015.140625,17370.25,3.045720100402832
99–100,0.259403258562088,4327.1142578125,1122.467529296875,3765.88037109375,12355.1103515625,2.8552770614624023
"100 and over",1,3204.646728515625,3204.646728515625,8589.2294921875,8589.2294921875,2.6802423000335693
"NOTES: This life table is based on death rates that have been adjusted for race and ethnicity misclassification on death certificates. Updated classification ratios were applied; see Technical Notes.",,,,,,
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,
