"Table 5. Life table for white males: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
91–92,0.1850472092628479,15586.853515625,2884.3037109375,14144.701171875,57344.65625,3.67903995513916
92–93,0.20444126427173615,12702.5498046875,2596.92529296875,11404.087890625,43199.95703125,3.400888681411743
93–94,0.2249186933040619,10105.625,2272.944091796875,8969.15234375,31795.8671875,3.146353244781494
94–95,0.24635402858257294,7832.6806640625,1929.6124267578125,6867.87451171875,22826.71484375,2.9142916202545166
95–96,0.26859015226364136,5903.068359375,1585.5059814453125,5110.3154296875,15958.8408203125,2.7034823894500732
96–97,0.2914416193962097,4317.5625,1258.3173828125,3688.40380859375,10848.525390625,2.512650489807129
97–98,0.31470030546188354,3059.2451171875,962.745361328125,2577.87255859375,7160.12158203125,2.3404862880706787
98–99,0.33814239501953125,2096.499755859375,708.9154663085938,1742.0419921875,4582.2490234375,2.18566632270813
99–100,0.36153706908226013,1387.584228515625,501.66314697265625,1136.752685546875,2840.206787109375,2.0468716621398926
"100 and over",1,885.9210815429688,885.9210815429688,1703.4541015625,1703.4541015625,1.922805666923523
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,
